config_id,features,train_r2,test_r2,n_train,n_test,n_features,rank
819,"change_2w, seasonal, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7215234680059974,0.592198040643308,114,104,7,1
959,"change_2w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7239279076971238,0.591537933610636,114,104,8,2
364,"ma_3w, seasonal, vol_2w, vol_3w",0.7157979171158767,0.5914417119451945,115,105,5,3
580,"change_2w, seasonal, vol_2w, vol_3w, vol_4w",0.7212102282886685,0.5911425256527685,114,104,6,4
817,"change_2w, ma_4w, seasonal, vol_2w, vol_3w, vol_4w",0.7237547773108595,0.5907817112113773,114,104,7,5
847,"ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7201565167743027,0.5901649961239398,114,104,7,6
578,"change_2w, seasonal, cos_seasonal, vol_2w, vol_4w",0.7210101333766041,0.5898705328165325,114,104,6,7
815,"change_2w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_4w",0.7224220651093887,0.5898594163795233,114,104,7,8
627,"ma_3w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7163403354920781,0.5896684719097046,115,105,6,9
635,"ma_4w, seasonal, vol_2w, vol_3w, vol_4w",0.7198928169888315,0.5893457291057898,114,104,6,10
571,"change_2w, ma_4w, seasonal, vol_2w, vol_4w",0.7222214342026483,0.5892524878185283,114,104,6,11
253,"change_1w, seasonal, vol_2w, vol_3w",0.7193439995711686,0.5889924781064619,115,105,5,12
344,"ma_2w, seasonal, vol_2w, vol_3w",0.7193439995711686,0.5889924781064619,115,105,5,13
470,"change_1w, ma_2w, seasonal, vol_2w, vol_3w",0.7193439995711686,0.5889924781064619,115,105,6,14
310,"change_2w, seasonal, vol_2w, vol_4w",0.7207029016304652,0.5889718970123315,114,104,5,15
637,"seasonal, cos_seasonal, vol_2w, vol_3w, vol_4w",0.7199456004784937,0.5888836690915915,114,104,6,16
309,"change_2w, seasonal, vol_2w, vol_3w",0.7145879571118181,0.5888524728574567,115,105,5,17
